Date,TESLA,SP500,DBS,ST
13/12/2000,,-0.008194336,0.004817685,0.015394091
14/12/2000,,-0.014113944,-0.033935841,-0.016090785
15/12/2000,,-0.02169639,-0.029991517,-0.021601062
18/12/2000,,0.00803833,0.049516202,0.01664152
19/12/2000,,-0.013042638,-0.014621877,-0.004498589
20/12/2000,,-0.031796138,-0.060603296,-0.021525055
21/12/2000,,0.007969801,-0.031737004,-0.017362168
22/12/2000,,0.024109691,0.010670738,0.003008867
25/12/2000,,0,0,0
26/12/2000,,0.007035082,0,-0.002869797
27/12/2000,,0.01038544,0,0
28/12/2000,,0.003980269,0.026249185,0.002782487
29/12/2000,,-0.010503016,0.015448698,0.01510863
01/01/2001,,0,0,0
02/01/2001,,-0.028432328,-0.015448698,-0.01540143
03/01/2001,,0.048884042,-0.010392843,-0.016096469
04/01/2001,,-0.010608477,0.035970595,0.029801674
05/01/2001,,-0.026592845,0.03963303,0.027786506
08/01/2001,,-0.00191966,0,-0.011784878
09/01/2001,,0.003804892,0.02869948,0.011208044
10/01/2001,,0.00954075,-0.033554407,-0.000784436
11/01/2001,,0.010264892,-0.014765254,-0.028809875
12/01/2001,,-0.006426903,0.019620181,0.002318756
15/01/2001,,0,0.009639709,0.009663422
16/01/2001,,0.006298769,-0.004808239,-0.008614898
17/01/2001,,0.002123399,-0.009686397,-0.000972507
18/01/2001,,0.01381939,-0.060355856,-0.01419839
19/01/2001,,-0.004036415,-0.015630051,0.007981428
22/01/2001,,0.000268112,-0.005326163,0.001370746
23/01/2001,,0.01294732,0.010563371,0.001201042
24/01/2001,,0.002862702,0,0
25/01/2001,,-0.004989337,0,0
26/01/2001,,-0.001887586,0.005209923,-0.002474908
29/01/2001,,0.006781632,0.010339116,0.012605805
30/01/2001,,0.006983483,0.015369854,0.009984428
31/01/2001,,-0.005635586,-0.005077352,0.015040184
01/02/2001,,0.005446303,0.005077352,-0.006107521
02/02/2001,,-0.017628462,0.005051702,-0.006105285
05/02/2001,,0.003580177,-0.025577753,-0.011247194
06/02/2001,,-0.001514833,0.005156196,-0.001524333
07/02/2001,,-0.008443694,0.00518924,0.000558689
08/02/2001,,-0.006254182,0.030293806,0.021819735
09/02/2001,,-0.013425251,-0.004975998,-0.005558971
12/02/2001,,0.011757858,0.019757132,0.008955144
13/02/2001,,-0.008689766,-0.009829774,3.92515E-05
14/02/2001,,-0.002186191,-0.009927358,-0.01112049
15/02/2001,,0.008090775,-0.015137193,0.000466244
16/02/2001,,-0.019086321,-0.02052605,-0.000987306
19/02/2001,,0,-0.015630051,-0.011999695
20/02/2001,,-0.017508886,0.020786247,0.012739026
21/02/2001,,-0.018680921,0,-0.006179524
22/02/2001,,-0.001953679,-0.005156196,-0.010869072
23/02/2001,,-0.005570956,0.010345435,0.001210166
26/02/2001,,0.017338738,0.015232317,0.008125536
27/02/2001,,-0.00768933,-0.020421557,-0.012372598
28/02/2001,,-0.014412471,0.015369854,0.007351491
01/03/2001,,0.001039832,-0.015369854,-0.016446415
02/03/2001,,-0.005696042,-0.020786247,-0.000889012
05/03/2001,,0.005841048,-0.026668247,-0.004333735
06/03/2001,,0.009931109,0,0
07/03/2001,,0.006431657,0,0.005003121
08/03/2001,,0.00225597,0.005378374,-0.003120814
09/03/2001,,-0.025075769,-0.005378374,-0.004648078
12/03/2001,,-0.044140776,-0.021871613,-0.025432389
13/03/2001,,0.014719631,-0.0280134,-0.031236786
14/03/2001,,-0.026181831,-0.011468852,-0.000926607
15/03/2001,,0.005854042,-0.005750601,-0.001506205
16/03/2001,,-0.019819158,-0.023407561,-0.012690505
19/03/2001,,0.017473111,-0.036136301,-0.029240537
20/03/2001,,-0.024371946,-0.006139807,0.005135295
21/03/2001,,-0.018086295,0.006139807,-0.005232119
22/03/2001,,-0.004071943,-0.037491249,-0.025088834
